game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=xqkxxn19,PC,1h 0m 20.000s,https://youtu.be/fZiBOdvfrv0,,co-op,2020-08-28,2,czZoidy,Jessamisu,,,http://www.speedrun.com/bo2zombies/run/yjl0nggz,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,2m 42.340s,https://www.youtube.com/watch?v=sv8Lfb6m-no&feature=youtu.be,,co-op,2019-11-13,2,Jessamisu,czZoidy,,,http://www.speedrun.com/bo2zombies/run/m7q0qr4z,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,2m 48.000s,https://www.youtube.com/watch?v=srsDc-RjlOg,,co-op,2019-01-30,2,Jessamisu,czZoidy,,,http://www.speedrun.com/bo2zombies/run/z11nvgwz,verified
