game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,15m 26.280s,https://youtu.be/YpS61NNudKI,,co-op,2024-12-04,2,HyperSomn,Discordkitten,,,http://www.speedrun.com/BO6Zombies/run/m7e99k4z,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,16m 43.970s,https://youtu.be/7S_XR9ak5gE,,solo,2024-12-03,1,HyperSomn,,,,http://www.speedrun.com/BO6Zombies/run/ywwe7jpy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,Xbox Series X,15m 23.000s,https://youtu.be/NXXNe-DRaJc?si=aBKoNGQ-oGIbPs_k,,co-op,2024-12-03,2,Discordkitten,HyperSomn,,,http://www.speedrun.com/BO6Zombies/run/yww11gpy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,19m 8.470s,https://www.youtube.com/watch?v=IzfhWaYPuHY,,solo,2024-11-29,1,HyperSomn,,,,http://www.speedrun.com/BO6Zombies/run/z5l5dgdy,verified
