game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Zombies DS,,Facility,7891w69n=810k20wq; rn1zppol=p12rkevl; 38dpww08=21gv6rx1,Nintendo DS,3m 13.130s,https://www.youtube.com/watch?v=2oOsWSdYQos,,solo,2024-07-17,1,Molonskie,,,,http://www.speedrun.com/call_of_duty_black_ops_zombies_ds/run/m3jogvwz,verified
Call of Duty: Black Ops Zombies DS,,All Maps,7891w69n=810k20wq; rn1zppol=p12rkevl; jlzgy0qn=9qjkv3e1,Nintendo DS,14m 37.020s,https://www.youtube.com/watch?v=9OgiWa8dmk8,,solo,2024-02-24,1,Molonskie,,,,http://www.speedrun.com/call_of_duty_black_ops_zombies_ds/run/y9j274rm,verified
Call of Duty: Black Ops Zombies DS,,Temple,7891w69n=810k20wq; rn1zppol=p12rkevl; r8r7qq0n=gq70oerl,Nintendo DS,3m 41.770s,https://www.youtube.com/watch?v=PJ2vN9gxORU,,solo,2024-02-23,1,Molonskie,,,,http://www.speedrun.com/call_of_duty_black_ops_zombies_ds/run/y9j74qrm,verified
Call of Duty: Black Ops Zombies DS,,House,7891w69n=810k20wq; rn1zppol=p12rkevl; p85rdd7n=81pvzwe1,Nintendo DS,3m 26.470s,https://www.youtube.com/watch?v=5uNmPQ6pQLI,,solo,2024-02-23,1,Molonskie,,,,http://www.speedrun.com/call_of_duty_black_ops_zombies_ds/run/y9j7qvkm,verified
