game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=192826yq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,8m 55.970s,https://www.twitch.tv/videos/2304826185,,solo,2024-11-18,1,Racko,,,,http://www.speedrun.com/BO6Zombies/run/zpxjk6xm,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,23m 4.400s,https://www.twitch.tv/videos/2301578972,,solo,2024-11-14,1,Racko,,,,http://www.speedrun.com/BO6Zombies/run/ywx9432m,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=14o7o8eq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,PC,28m 53.810s,https://www.twitch.tv/videos/2293954266,,solo,2024-11-04,1,Racko,,,,http://www.speedrun.com/BO6Zombies/run/ylx2pnky,rejected
