game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=21d554le,Xbox One,28m 29.000s,https://www.youtube.com/watch?v=ozNMKzfwMv0,,solo,2021-03-11,1,XaNiiTY_Eu,,,,http://www.speedrun.com/bo3zombies/run/zx6xongz,rejected
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=5leo55qo; p85pd5lg=0136od15,PC,30m 38.550s,https://www.youtube.com/watch?v=NJYdRmBr3vY&t=1408s,,solo,2021-03-11,1,XaNiiTY_Eu,,,,http://www.speedrun.com/bo3zombies/run/yo9x6l1y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=21g9m9xq,PC,28m 52.000s,https://www.youtube.com/watch?v=Hu0Bflwg78o&t=38s,,solo,2021-03-11,1,XaNiiTY_Eu,,,,http://www.speedrun.com/bo3zombies/run/yd9le2qz,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PC,2m 13.000s,https://www.youtube.com/watch?v=wXpsWevhllM,,solo,2021-03-11,1,XaNiiTY_Eu,,,,http://www.speedrun.com/bo3zombies/run/z06qoooz,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=5leo55qo; p85pd5lg=mlndzm61,PC,11m 3.000s,https://www.youtube.com/watch?v=AZgL2y4Liq8,,solo,2021-03-11,1,XaNiiTY_Eu,,,,http://www.speedrun.com/bo3zombies/run/y8vpj8xz,verified
