game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=4qy994l7,PC,1h 19m 15.383s,https://www.youtube.com/watch?v=GBsOwYMjOzc,,solo,2026-01-15,1,pinballmeshi,,,,http://www.speedrun.com/bo3zombies/run/zq52x3xz,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=5leo55qo; p85pd5lg=rqvvk45q,PC,49m 31.951s,https://www.youtube.com/watch?v=7qe3sQqFaZ8,,solo,2025-09-29,1,pinballmeshi,,,,http://www.speedrun.com/bo3zombies/run/zg9ng0vm,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=5leo55qo; p85pd5lg=rqvvk45q,PC,1h 2m 48.402s,https://www.youtube.com/watch?v=zG0FVPMINBY,,solo,2025-09-29,1,pinballmeshi,,,,http://www.speedrun.com/bo3zombies/run/ydoq97wz,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=5leo55qo; p85pd5lg=rqvvk45q,PC,1h 10m 23.695s,https://www.youtube.com/watch?v=lSMpGEmqM7E,,solo,2025-09-20,1,pinballmeshi,,,,http://www.speedrun.com/bo3zombies/run/zq5k4kxz,verified
