game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PlayStation 4,29.020s,https://youtu.be/4VyxOxAWogM,,solo,2018-08-08,1,retrosheep08,,,,http://www.speedrun.com/bo3zombies/run/yl4vq0km,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PlayStation 4,42.260s,https://youtu.be/4VyxOxAWogM,,solo,2018-08-08,1,retrosheep08,,,,http://www.speedrun.com/bo3zombies/run/m7p5dgem,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=5q8d4r3l; 2lg396np=5leo55qo; 789ye5nw=jqzv9pgl,PlayStation 4,44.230s,https://www.youtube.com/watch?v=4VyxOxAWogM&t=229s,,solo,2018-08-08,1,retrosheep08,,,,http://www.speedrun.com/bo3zombies/run/me86763m,verified
