game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=4lxz9212; 38dw04n0=jqz2ogqp,PlayStation 3,1h 20m 31.000s,https://www.twitch.tv/videos/415502345,,co-op,2019-12-09,3,Volcarona,SadeMKH,YunoGasaiStan,,http://www.speedrun.com/bo3zombies/run/yv3vewxz,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=81wdpz6q; 5lyjm0yl=0132y83q; wlex9v28=rqvrpgyl,PlayStation 4,55m 15.000s,https://www.youtube.com/watch?v=7AG3qwoqmko,,solo,2020-11-17,1,Volcarona,,,,http://www.speedrun.com/bo4zombies/run/mr9r7d4m,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=81wdpz6q; 5lyjm0yl=0132y83q; wlex9v28=rqvrpgyl,PlayStation 4,1h 1m 2.000s,https://www.youtube.com/watch?v=CJdhn6idn2s,,solo,2019-12-10,1,Volcarona,,,,http://www.speedrun.com/bo4zombies/run/yw4n7g3z,rejected
