game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PlayStation 4,13m 47.000s,https://www.youtube.com/watch?v=Tg-JJ-9bKKY,,co-op,2023-11-15,2,YTxdBlackwood,Darkstrider117,,,http://www.speedrun.com/bo3zombies/run/mkqk2vxm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PlayStation 4,12m 33.000s,https://www.youtube.com/watch?v=jWWGUdIofHM,,co-op,2023-11-11,2,YTxdBlackwood,Darkstrider117,,,http://www.speedrun.com/bo3zombies/run/yoornedy,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PlayStation 4,12m 58.110s,https://www.youtube.com/watch?v=6za1LrnJgAg,,co-op,2023-11-10,2,YTxdBlackwood,Darkstrider117,,,http://www.speedrun.com/bo3zombies/run/z0xopdez,rejected
