game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PC,19m 28.300s,https://www.youtube.com/watch?v=TywtFyLyU-w,,solo,2024-11-26,1,santacabeza,,,,http://www.speedrun.com/BO6Zombies/run/y6g3350m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,13m 6.000s,https://youtu.be/LcqGwzDiTGY,,solo,2024-11-22,1,santacabeza,,,,http://www.speedrun.com/BO6Zombies/run/y9d4llem,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,14m 48.820s,https://www.youtube.com/watch?v=J4Cqp3Id7wY,,solo,2024-11-20,1,santacabeza,,,,http://www.speedrun.com/BO6Zombies/run/zqqx3rrz,verified
