game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 7 Zombies,,Ashes of the Damned ,68kw0kk8=q8k88wyq; wle3mz28=lr344ool; rn1kv91l=qvvoojrq; j84p9ww8=qj7nnp7q; rn1kv6kl=lr34vn0l; 789e9z6l=192ypp4q,PC,56m 56.870s,https://www.youtube.com/watch?v=KPQqu_etCb4,,solo,2025-11-24,1,Leodirio,,,,http://www.speedrun.com/Bo7Zombies/run/zx5l3x8m,verified
Call of Duty: Black Ops 7 Zombies,,Ashes of the Damned ,68kw0kk8=q8k88wyq; wle3mz28=lr344ool; rn1kv91l=qvvoojrq; j84p9ww8=qj7nnp7q; rn1kv6kl=lr34vn0l; 789e9z6l=192ypp4q,PC,1h 15m 8.760s,https://www.youtube.com/watch?v=b50vJbGQdSU,,solo,2025-11-22,1,Leodirio,,,,http://www.speedrun.com/Bo7Zombies/run/y2r0vvjm,verified
Call of Duty: Black Ops 7 Zombies,,Ashes of the Damned ,68kw0kk8=qyzoog61; wle3mz28=lr344ool; rn1kv91l=lx5oom31; j84p9ww8=qj7nnp7q; rn1kv6kl=lr34vn0l; 789e9z6l=192ypp4q,PC,2m 5.000s,https://www.youtube.com/watch?v=8gyA43XASmo,,solo,2025-11-22,1,Leodirio,,,,http://www.speedrun.com/Bo7Zombies/run/zx5l66gm,verified
Call of Duty: Black Ops 7 Zombies,,Ashes of the Damned ,68kw0kk8=q8k88wyq; wle3mz28=lr344ool; rn1kv91l=lx5oom31; j84p9ww8=qj7nnp7q; rn1kv6kl=lr34vn0l; 789e9z6l=192ypp4q,PC,4m 49.900s,https://www.youtube.com/watch?v=CnUH9yIjfmI,,solo,2025-11-15,1,Leodirio,,,,http://www.speedrun.com/Bo7Zombies/run/zn501w7z,verified
