game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,1m 10.850s,https://youtu.be/Hr42maL6IfE?si=Ifiv45QGtBlIrkVE,,solo,2024-11-24,1,trump24,,,,http://www.speedrun.com/BO6Zombies/run/y4lpkk3z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn34q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,6m 43.000s,https://youtu.be/SwIQS5Za_VE,,solo,2024-11-13,1,trump24,,,,http://www.speedrun.com/BO6Zombies/run/megqkw8y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn34q; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,10m 26.200s,https://youtu.be/jyQ-czGrsds,,solo,2024-11-01,1,trump24,,,,http://www.speedrun.com/BO6Zombies/run/ywxok63m,verified
