game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,Xbox One,4m 28.000s,https://youtu.be/rHN9J6MThEM,,solo,2020-10-14,1,J3qZ,,,,http://www.speedrun.com/iwzombies/run/m3gg774z,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,Xbox One,6m 20.000s,https://www.youtube.com/watch?v=aXeIw4k3Amg,,solo,2020-10-14,1,J3qZ,,,,http://www.speedrun.com/iwzombies/run/me66jk8z,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,Xbox One,4m 28.000s,https://youtu.be/rHN9J6MThEM,,solo,2020-10-13,1,J3qZ,,,,http://www.speedrun.com/iwzombies/run/m755gx4z,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,Xbox One,10m 53.000s,https://www.youtube.com/watch?v=lzQ2qOmQIIA,,solo,2020-10-12,1,J3qZ,,,,http://www.speedrun.com/iwzombies/run/y4eeel2m,rejected
