game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,12m 6.000s,https://www.youtube.com/watch?v=wK6mQQNda5k,,solo,2024-12-12,1,Coordinated,,,,http://www.speedrun.com/BO6Zombies/run/m7epq6wz,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,15m 36.610s,https://www.youtube.com/watch?v=4qxy_dtngfQ,,co-op,2024-11-24,2,Coordinated,Camperson,,,http://www.speedrun.com/BO6Zombies/run/yj9non7z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,21m 16.200s,https://www.youtube.com/watch?v=F5Oz6H1EszY,,solo,2024-11-20,1,Coordinated,,,,http://www.speedrun.com/BO6Zombies/run/mrx3j88m,verified
