game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,17m 47.000s,https://youtu.be/CjYq7evSwSU?si=DEefiBWq6Jfl21G9,,solo,2025-02-15,1,NathanielFort,,,,http://www.speedrun.com/BO6Zombies/run/zq2jr21z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,21m 34.000s,https://youtu.be/Zafjn3fSlkQ?si=Wv5bjkrFT9_0CJ-B,,solo,2025-02-11,1,NathanielFort,,,,http://www.speedrun.com/BO6Zombies/run/y9p66kvm,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,21m 34.000s,https://youtu.be/Zafjn3fSlkQ?si=OmztwgGQc6jA3HF5,,solo,2025-02-11,1,NathanielFort,,,,http://www.speedrun.com/BO6Zombies/run/z5leeeey,verified
