game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PC,15.900s,https://www.youtube.com/watch?v=qpQ6q2MUjrA,,solo,2024-06-26,1,aethera,,,,http://www.speedrun.com/bo3zombies/run/y22o0x5y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,37.150s,https://www.youtube.com/watch?v=Nw-UPXSBonE,,solo,2024-06-26,1,aethera,,,,http://www.speedrun.com/bo3zombies/run/ydn7w9vm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,55.250s,https://www.youtube.com/watch?v=bIdqgkaNGbw,,solo,2024-06-26,1,aethera,,,,http://www.speedrun.com/bo3zombies/run/y6v1n66m,verified
