game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=5leo55qo; ylp4gjlg=21dv5z41,PC,44.433s,https://www.youtube.com/watch?v=3WR6SuUysX8,,solo,2022-05-19,1,Delamain2077,,,,http://www.speedrun.com/bo3zombies/run/m767gj5y,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,27.490s,https://youtu.be/Vggh2rHZVPQ,,solo,2022-05-19,1,Delamain2077,,,,http://www.speedrun.com/bo3zombies/run/z52d09dz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PC,17.400s,https://www.youtube.com/watch?v=qPzIsIFqA5g,,solo,2022-05-18,1,Delamain2077,,,,http://www.speedrun.com/bo3zombies/run/yvroj34z,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PC,1m 20.470s,https://www.youtube.com/watch?v=S2t35so5yBU,,solo,2022-05-18,1,Delamain2077,,,,http://www.speedrun.com/bo3zombies/run/y88e9gwy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,2m 22.540s,https://www.youtube.com/watch?v=l2q4VINLWZw,,solo,2022-04-28,1,Delamain2077,,,,http://www.speedrun.com/bo3zombies/run/mr7k794z,verified
