game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=5lez085l; wledm3xn=xqk038n1; gnxj7pgl=810y752l,PC,44m 41.000s,https://www.twitch.tv/videos/860127428,,co-op,2021-01-03,3,spiffypolecat,devlanpat,evilcheetah,,http://www.speedrun.com/bocwz/run/mr9p0qdm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=21d554le,PC,34m 14.000s,https://www.twitch.tv/videos/701459483,,solo,2020-08-05,1,spiffypolecat,,,,http://www.speedrun.com/bo3zombies/run/yw85050y,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=21d554le,PC,34m 15.000s,https://www.twitch.tv/videos/702581193,,solo,2020-08-05,1,spiffypolecat,,,,http://www.speedrun.com/bo3zombies/run/yv65rvez,verified
