game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 38.640s,https://youtu.be/w5l9KXmsut8,,solo,2025-01-15,1,rylanbaz,,,,http://www.speedrun.com/BO6Zombies/run/men7510m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=4qy707dq,PC,7m 40.950s,https://clipchamp.com/watch/B0D3oFe8t8u,,solo,2023-08-02,1,rylanbaz,,,,http://www.speedrun.com/bo3zombies/run/yj2eq47m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,13m 3.110s,https://clipchamp.com/watch/kDHnoaKgApd,,solo,2023-07-13,1,rylanbaz,,,,http://www.speedrun.com/bo3zombies/run/znvv587m,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,13m 31.560s,https://clipchamp.com/watch/4D8pGYZ1b44,,solo,2023-07-10,1,rylanbaz,,,,http://www.speedrun.com/bo3zombies/run/y9880ovz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,13m 46.760s,https://clipchamp.com/watch/clD3wApSjAl,,solo,2023-07-10,1,rylanbaz,,,,http://www.speedrun.com/bo3zombies/run/znvvr99m,verified
