game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,3m 22.042s,https://youtu.be/H8AUx9saD_g,,solo,2020-06-04,1,SamuKyoku,,,,http://www.speedrun.com/bo2zombies/run/y90lq6vy,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 49.029s,https://youtu.be/rsA2fTZltA4,,solo,2020-06-04,1,SamuKyoku,,,,http://www.speedrun.com/bo2zombies/run/z5jv4egm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 53.000s,https://www.youtube.com/watch?v=Xg71-Xf-WLw&feature=youtu.be,,solo,2019-07-12,1,SamuKyoku,,,,http://www.speedrun.com/bo2zombies/run/yv36r58z,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 34.000s,https://www.youtube.com/watch?v=le5zPS-ZxyY&feature=youtu.be,,solo,2019-07-12,1,SamuKyoku,,,,http://www.speedrun.com/bo2zombies/run/zxk27rkm,verified
