game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,29m 19.000s,https://youtu.be/CD4QAr4RyNg,,co-op,2024-12-15,2,Real50Cal,iNLiNE_OD_,,,http://www.speedrun.com/BO6Zombies/run/z1v1vx9z,rejected
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,29m 19.000s,https://youtu.be/JUtPJnQEGe4,,co-op,2024-12-15,2,iNLiNE_OD_,Real50Cal,,,http://www.speedrun.com/BO6Zombies/run/zgj7o3nz,rejected
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,29m 24.000s,https://youtu.be/CD4QAr4RyNg,https://www.youtube.com/watch?v=JUtPJnQEGe4,co-op,2024-12-15,2,Real50Cal,iNLiNE_OD_,,,http://www.speedrun.com/BO6Zombies/run/y8o1r1xm,verified
