game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PlayStation 4,11m 34.000s,https://youtu.be/CVe6v0bCR1I?si=_a2u_WrDR9TAJA7K,,solo,2023-10-07,1,Sunao,,,,http://www.speedrun.com/iwzombies/run/y9k0rnvz,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 19.000s,https://youtu.be/D37Ca3aSbrM,,solo,2023-08-04,1,Sunao,,,,http://www.speedrun.com/iwzombies/run/y62jl90z,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 16.000s,https://youtu.be/40bQRMyntAI,,solo,2023-08-02,1,Sunao,,,,http://www.speedrun.com/iwzombies/run/yl6pjnky,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 21.000s,https://youtu.be/o6A2zFQWrcs,,solo,2023-08-01,1,Sunao,,,,http://www.speedrun.com/iwzombies/run/yonqo97z,verified
