game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=5q8d4r3l; 2lg396np=5leo55qo; 789ye5nw=810646p1,PC,55.100s,https://www.youtube.com/watch?v=5ePtdGLLvMc,,solo,2023-09-29,1,icyivy,,,,http://www.speedrun.com/bo3zombies/run/y6qlgwjz,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=81py6nk1,PC,3m 33.460s,https://www.twitch.tv/videos/1812567651,,solo,2023-05-29,1,icyivy,,,,http://www.speedrun.com/bo3zombies/run/z5p3xnnm,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=81py6nk1,PC,3m 36.570s,https://www.twitch.tv/videos/1811714489,,solo,2023-05-04,1,icyivy,,,,http://www.speedrun.com/bo3zombies/run/yl69593y,verified
