game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,39m 50.000s,https://www.youtube.com/watch?v=OiCmCj5_MT8,,co-op,2024-10-30,2,z00sTTV,End415,,,http://www.speedrun.com/BO6Zombies/run/zqq5loxz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,41m 47.000s,https://www.youtube.com/watch?v=bSixmbzESHI,,co-op,2024-10-30,3,z00sTTV,End415,FilthyDubstep,,http://www.speedrun.com/BO6Zombies/run/y8pn7p5z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,33m 50.000s,https://youtu.be/3AA6epxN7ao,,co-op,2024-10-30,2,End415,z00sTTV,,,http://www.speedrun.com/BO6Zombies/run/yj9rqogz,verified
