game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PlayStation 5,50m 22.000s,https://youtu.be/zELZNQRXWAU,,co-op,2021-02-07,2,THEXALPHAXMALE,KING WHIC0,,,http://www.speedrun.com/bocwz/run/zno1xg3y,rejected
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,35m 2.000s,https://youtu.be/EodfhsN4RS8,,co-op,2021-01-13,2,THEXALPHAXMALE,ScoobaDoobaDoo,,,http://www.speedrun.com/bocwz/run/mk7lvv5y,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,47m 44.000s,https://youtu.be/Em9P0zVn2j4,,co-op,2021-01-11,2,THEXALPHAXMALE,ScoobaDoobaDoo,,,http://www.speedrun.com/bocwz/run/yw0eewnm,verified
