game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,The Tomb,yn26gvjl=ln8kzvol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; 6njprv5n=q5v7gj7l,PlayStation 5,33m 29.000s,https://youtu.be/ALoobam-rgI,,solo,2025-02-03,1,zentora,,,,http://www.speedrun.com/BO6Zombies/run/men1719m,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PlayStation 5,27m 55.000s,https://www.youtube.com/watch?v=g2vaawdTOdQ,,solo,2025-01-02,1,zentora,,,,http://www.speedrun.com/BO6Zombies/run/ywwdgrny,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,36m 47.220s,https://youtu.be/QCp_Lbvwyl4?si=Xp3jsWR_mZGb11Vw,,solo,2024-12-21,1,zentora,,,,http://www.speedrun.com/BO6Zombies/run/yww46q3y,verified
