game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PlayStation 4,2m 35.570s,https://youtu.be/vrokFWkDLZI?si=DFDci-DoK2M631Tz,,solo,2024-08-03,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/mk18dnvy,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PlayStation 4,1m 2.467s,https://youtu.be/b15EJwKoKEQ?si=8nIWP1U2Kl1QQX4F,,solo,2024-07-21,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/yox2gg5y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,1m 54.583s,https://youtu.be/hBYYzKG4oPM?si=ZCuDsVul8tKcVlxj,,solo,2024-07-06,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/y2w9349y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PC,1m 10.250s,https://youtu.be/SZynH_9aVc8?si=IZB_XCwKQrVgE4kj,,solo,2024-07-05,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/m7o19jey,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,Xbox One,2m 59.400s,https://youtu.be/8X_UJyvn_Gk,,solo,2022-07-09,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/znpgd57m,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=9qjx2e3l; 2lg396np=5leo55qo; ylp4gjlg=0q5xgzr1,Xbox One,17m 7.300s,https://youtu.be/PfvDJLmK2qU,,solo,2022-06-26,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/me3gk80z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,Xbox One,1m 4.567s,https://youtu.be/zvwMUd-WP7w,,solo,2022-06-25,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/zp9xnvgm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,Xbox One,3m 28.267s,https://youtu.be/RJH5kN577M0,,solo,2022-06-25,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/yvrx4d6z,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,Xbox One,1m 26.800s,https://youtu.be/FngjJMb2Yhw,,solo,2022-06-25,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/zq7q63rm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,Xbox One,3m 2.470s,https://youtu.be/lZIcOP_jVsM,,solo,2022-06-25,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/y88pq9dy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,Xbox One,3m 37.400s,https://youtu.be/3ENaAs6YbY4,,solo,2022-06-25,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/mkk149xm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5q82d8rq,Xbox One,16m 46.767s,https://youtu.be/WfuvUR-hHnQ,,solo,2022-06-25,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/zq7q6rrm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,Xbox One,4m 27.100s,https://youtu.be/Gpi2G27NyXM,,solo,2021-11-19,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/m37p57qz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,Xbox One,19.100s,https://youtu.be/xEMk4tsQY6I,,solo,2021-11-19,1,Bluetiara24,,,,http://www.speedrun.com/bo3zombies/run/ylr8kpry,verified
