game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=814jp01d; wlewprl6=814kpgjl,PC,39.400s,https://youtu.be/HV_9bMgk6o0,,co-op,2023-02-11,4,Fahadd,hydr8,Dark425,Derpspeedman,http://www.speedrun.com/bo3zombies/run/zxnnlwem,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=814jp01d; wlewprl6=814kpgjl,PC,47.950s,https://youtu.be/9bMJybXc-Y0,,co-op,2023-02-11,4,Fahadd,hydr8,Dark425,Derpspeedman,http://www.speedrun.com/bo3zombies/run/yollro0y,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=4lxz9212; 6njz75l4=jqzdkmlp,PC,51.400s,https://youtu.be/80FD6EP2aSo,,co-op,2023-02-09,3,Fahadd,hydr8,Dark425,,http://www.speedrun.com/bo3zombies/run/mkvv9lvy,rejected
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=814jp01d; 2lg7k6lp=mlnexenl,PC,15.800s,https://youtu.be/F3WfsknkusI,,co-op,2023-02-09,4,Fahadd,Dark425,Adnanmus,Derpspeedman,http://www.speedrun.com/bo3zombies/run/zpggqerz,rejected
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=4lxz9212; 2lg7e6lp=21ge5dml,PC,28.200s,https://youtu.be/sSbfKPpznv0,,co-op,2023-02-09,3,Fahadd,Adnanmus,Dark425,,http://www.speedrun.com/bo3zombies/run/y2jj36wz,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=4lxz9212; jlzz6xl2=gq79pjvl,PC,31.400s,https://youtu.be/Gn5U4UnPzYQ,,co-op,2023-02-08,3,Fahadd,Dark425,Derpspeedman,,http://www.speedrun.com/bo3zombies/run/ydg1xl0y,rejected
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=4lxz9212; 2lg7k6lp=mlnexenl,PC,15.150s,https://youtu.be/BgaNMN4sE1o,,co-op,2023-02-08,3,Fahadd,Dark425,Derpspeedman,,http://www.speedrun.com/bo3zombies/run/zqe9o88z,rejected
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=0q56pm1p; ylp4kjlg=21ge58nl,PC,41.850s,https://youtu.be/566nnAJsOhk,,co-op,2023-02-08,2,Fahadd,Dark425,,,http://www.speedrun.com/bo3zombies/run/y6ox42qy,rejected
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=0q56pm1p; 2lg7e6lp=21ge5dml,PC,32.650s,https://youtu.be/pokyIM_5mV4,,co-op,2023-02-08,2,Fahadd,Dark425,,,http://www.speedrun.com/bo3zombies/run/z0nl4njm,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,PC,28.000s,https://youtu.be/Cyv0TkGqnLY,,co-op,2023-02-05,2,Fahadd,Dark425,,,http://www.speedrun.com/bo3zombies/run/zqe908rz,rejected
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=4lxz9212; onvmywnm=klrj942q,PC,29.820s,https://youtu.be/Sn-8IeWB13U,,co-op,2023-02-05,3,Fahadd,hydr8,Dark425,,http://www.speedrun.com/bo3zombies/run/zxn8lgqm,rejected
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=814jp01d; onvmywnm=klrj942q,PC,28.740s,https://youtu.be/syzNndZUBgw,,co-op,2023-02-03,4,Fahadd,hydr8,Adnanmus,Dark425,http://www.speedrun.com/bo3zombies/run/zpgdnlxz,rejected
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=814jp01d; onvmywnm=klrj942q,PC,2m 44.550s,https://youtu.be/C67x3I--7ZA,,co-op,2023-02-03,4,Fahadd,hydr8,Adnanmus,Dark425,http://www.speedrun.com/bo3zombies/run/yln13vnz,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=814jp01d; jlzz6xl2=zqomrog1,PC,21m 10.100s,https://youtu.be/Jh0O1ylXioc,,co-op,2023-02-03,4,Fahadd,hydr8,Adnanmus,Dark425,http://www.speedrun.com/bo3zombies/run/yv80466m,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=814jp01d; jlzz6xl2=0q54r9rl,PC,35.210s,https://youtu.be/kGKJA7vWvvs,,co-op,2023-02-03,4,Fahadd,hydr8,Adnanmus,Dark425,http://www.speedrun.com/bo3zombies/run/zpg9778z,rejected
