game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=9qjno4e1; gnxj7pgl=810y752l,Xbox One X,9m 39.000s,https://www.twitch.tv/videos/1435996381,,solo,2022-03-25,1,AngelType7,,,,http://www.speedrun.com/bocwz/run/yle8n2kz,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 5ly102l4=jqzgn04l,Xbox 360,17m 55.000s,https://www.twitch.tv/videos/1256800755,,co-op,2022-01-08,2,IzinValer,AngelType7,,,http://www.speedrun.com/bo2zombies/run/z5vrw3jm,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,Xbox 360,19m 26.000s,https://www.twitch.tv/videos/1256036276,,co-op,2022-01-07,2,IzinValer,AngelType7,,,http://www.speedrun.com/bo2zombies/run/yjxgokoz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,Xbox One,14m 0.750s,https://youtu.be/HnyIvjc-qBg,,solo,2025-06-05,1,AngelType7,,,,http://www.speedrun.com/bo3zombies/run/y9e95pkz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=zqomrog1,Xbox One,13m 26.000s,https://www.twitch.tv/videos/1417966104,,co-op,2022-03-06,2,AngelType7,IzinValer,,,http://www.speedrun.com/bo3zombies/run/zp2596ny,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=4lxz9212; jlzz6xl2=zqomrog1,Xbox One,13m 45.740s,https://www.twitch.tv/videos/1417990629,,co-op,2022-03-06,3,AngelType7,IzinValer,BORD3R MAN,,http://www.speedrun.com/bo3zombies/run/y8jn8onz,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,Xbox One,12m 2.000s,https://www.twitch.tv/videos/1416594362,,solo,2022-02-20,1,AngelType7,,,,http://www.speedrun.com/bo3zombies/run/y9lw0dvy,rejected
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=4lxz9212; ql659jn9=5lm8g6yq,Xbox One,13m 19.000s,https://www.twitch.tv/videos/1292108156,,co-op,2022-02-08,3,AngelType7,IzinValer,BORD3R MAN,,http://www.speedrun.com/bo3zombies/run/z0oxjd9z,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=4lxz9212; 789ye5nw=rqv6eo5l,Xbox One,14m 30.540s,https://www.twitch.tv/videos/1292123312,,co-op,2022-02-08,3,AngelType7,IzinValer,BORD3R MAN,,http://www.speedrun.com/bo3zombies/run/zgd8eojz,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=0q56pm1p; 789ye5nw=p12o4z7l,Xbox One,2m 36.000s,https://www.twitch.tv/videos/1293097998,,co-op,2022-02-07,2,AngelType7,IzinValer,,,http://www.speedrun.com/bo3zombies/run/ywjnw49z,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=0q56pm1p; 789ye5nw=rqv6eo5l,Xbox One,15m 0.120s,https://www.twitch.tv/videos/1293119891,,co-op,2022-02-07,2,AngelType7,IzinValer,,,http://www.speedrun.com/bo3zombies/run/m7w3e5wz,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,Xbox One,12m 59.000s,https://www.twitch.tv/videos/1286337017,,co-op,2022-02-03,2,AngelType7,IzinValer,,,http://www.speedrun.com/bo3zombies/run/z5vpp0gm,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=0q56pm1p; ql659jn9=0q5x78m1,Xbox One,2m 27.000s,https://www.twitch.tv/videos/1286342845,,co-op,2022-02-03,2,AngelType7,IzinValer,,,http://www.speedrun.com/bo3zombies/run/z12llrgy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,Xbox One,14m 45.000s,https://www.twitch.tv/videos/1256046354,,solo,2022-01-07,1,AngelType7,,,,http://www.speedrun.com/bo3zombies/run/yjxgog7z,verified
