game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=q75rdxp1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PlayStation 5,6m 28.300s,https://youtu.be/Spo4dwIfxdM,,solo,2024-12-15,1,Hopelessmusician,,,,http://www.speedrun.com/BO6Zombies/run/z1v1klwz,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=q75rdxp1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PlayStation 5,5m 12.510s,https://www.youtube.com/watch?v=unajXjlc6oI,,solo,2024-12-14,1,Hopelessmusician,,,,http://www.speedrun.com/BO6Zombies/run/ydv3g9vy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PlayStation 5,5m 27.420s,https://youtu.be/r0iz-DB0YG8,,solo,2024-12-14,1,Hopelessmusician,,,,http://www.speedrun.com/BO6Zombies/run/zq239p8z,verified
