game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Classified,789k7y6l=814d4gk1; 5lyjm0yl=0132y83q; onv6omr8=mln3k6nq,PlayStation 4,8m 34.000s,https://youtu.be/cPXj4WD0boY,,solo,2019-11-05,1,Atomic_Mark,,,,http://www.speedrun.com/bo4zombies/run/yj38ol3z,rejected
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=0132y83q; kn0zwr38=5lmn7z4q,PlayStation 4,2m 13.340s,https://youtu.be/zmMKvL3n7FI,,solo,2018-12-16,1,Atomic_Mark,,,,http://www.speedrun.com/bo4zombies/run/yo2nn01z,rejected
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=0132y83q; kn0zwr38=5lmn7z4q,PlayStation 4,2m 1.070s,https://youtu.be/tUjG0lwBqis,,solo,2018-12-16,1,Atomic_Mark,,,,http://www.speedrun.com/bo4zombies/run/zg7e8xdz,verified
