game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=4lxz9212; 38dw04n0=p12opmkl,PC,4m 33.000s,https://www.youtube.com/watch?v=jDtJ7NJpzDc,,co-op,2022-08-13,3,PileOfRocks,LocalKoolCid,Elite_Masterpeice,,http://www.speedrun.com/bo3zombies/run/znqkq19z,rejected
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=4lxz9212; 6njz75l4=z195kykq,PC,1m 46.566s,https://www.youtube.com/watch?v=qAA7tvDcfLE,,co-op,2022-08-13,3,PileOfRocks,LocalKoolCid,Elite_Masterpeice,,http://www.speedrun.com/bo3zombies/run/me1o1e8y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=4lxz9212; 6njz75l4=z195kykq,PlayStation 3,1m 55.000s,https://www.youtube.com/watch?v=qAA7tvDcfLE,,co-op,2022-08-13,3,PileOfRocks,LocalKoolCid,Elite_Masterpeice,,http://www.speedrun.com/bo3zombies/run/yodkdljm,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=4lxz9212; jlzz6xl2=gq79pjvl,PC,2m 41.033s,https://www.youtube.com/watch?v=CdUuChCQ2C0,,co-op,2022-08-13,3,PileOfRocks,LocalKoolCid,Elite_Masterpeice,,http://www.speedrun.com/bo3zombies/run/mrrkrv2m,verified
