game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PC,2m 36.740s,https://www.youtube.com/watch?v=yaHgQO7FBK8&feature=youtu.be,,solo,2020-11-13,1,McLovinsOwn,,,,http://www.speedrun.com/bocwz/run/y4eqj7nm,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 7.400s,https://youtu.be/AhZDc8daMcA,,co-op,2021-12-25,2,McLovinsOwn,MuricanDoggo,,,http://www.speedrun.com/bo2zombies/run/y8j2l91z,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 43.720s,https://youtu.be/Nntq899PTp4,,co-op,2020-08-22,4,McLovinsOwn,YakubPK,MuricanDoggo,Eucharia,http://www.speedrun.com/bo2zombies/run/yv6d40oz,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 15.760s,https://www.twitch.tv/videos/698939345,,co-op,2020-08-03,2,McLovinsOwn,MuricanDoggo,,,http://www.speedrun.com/bo2zombies/run/zqwpodrz,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 43.580s,https://www.twitch.tv/videos/699862823,,co-op,2020-08-03,3,McLovinsOwn,MuricanDoggo,YakubPK,,http://www.speedrun.com/bo2zombies/run/z5j65l5m,verified
