game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,19m 1.910s,https://www.youtube.com/watch?v=IqvHZFPJ5AY,,co-op,2025-01-15,2,Skime999,Gootles,,,http://www.speedrun.com/BO6Zombies/run/ydvrkjvy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,21m 54.000s,https://www.youtube.com/watch?v=3LZfDns5hFY,,co-op,2025-01-08,2,Skime999,gootles,,,http://www.speedrun.com/BO6Zombies/run/zn9o6l9y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,35m 12.000s,https://www.youtube.com/watch?v=eXu4YiMA2Dk,,co-op,2024-12-18,3,Skime999,Gootles,WJT,,http://www.speedrun.com/BO6Zombies/run/yww4013y,verified
