game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 21.080s,https://www.twitch.tv/videos/393773829,,co-op,2019-03-11,3,SailorShen,Nollers_Friend,NollerReal,,http://www.speedrun.com/bo2zombies/run/z03kxgez,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,3m 40.190s,https://youtu.be/9LBkAWNAm-o,,co-op,2019-03-11,4,SailorShen,Nollers_Friend,NollerReal,Killo222,http://www.speedrun.com/bo2zombies/run/m7pjgp5m,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,3m 47.880s,https://www.twitch.tv/videos/394250217,,co-op,2019-03-11,4,SailorShen,Nollers_Friend,NollerReal,Killo222,http://www.speedrun.com/bo2zombies/run/y43vw3qz,verified
