game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,PlayStation 4,22m 36.340s,https://youtu.be/lPbc6VZABmQ?si=m3JfOlAZzVcBYVuI,,solo,2024-07-25,1,YaBoyBlue,,,,http://www.speedrun.com/iwzombies/run/ywx4ww2m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,PlayStation 4,22m 53.280s,https://youtu.be/53VyiLD1DXo?si=iEaR8oiGKrAyleDp,,solo,2024-07-22,1,YaBoyBlue,,,,http://www.speedrun.com/iwzombies/run/ydl66w0z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=5le28pkl,PlayStation 4,4m 5.690s,https://youtu.be/ASKw1xIGVEw,,co-op,2024-04-25,2,SGTSalt357,YaBoyBlue,,,http://www.speedrun.com/iwzombies/run/y9j6okrm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=5le28pkl,PlayStation 4,4m 39.000s,https://youtu.be/9Sxm8b18als?si=Vaq1_YZGwAreyLcM,,co-op,2024-04-18,2,YaBoyBlue,SGTSalt357,,,http://www.speedrun.com/iwzombies/run/zp69ergm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,17m 41.694s,https://youtu.be/DMY_BHQotEA?si=jLGsexisEBQ0gKtC,,co-op,2024-03-13,2,SGTSalt357,YaBoyBlue,,,http://www.speedrun.com/iwzombies/run/yldv3jxm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,21m 51.000s,https://youtu.be/sUoVfg7OuAk?si=JJ-YkWYb7Cd2Pts3,,co-op,2024-03-04,2,YaBoyBlue,SGTSalt357,,,http://www.speedrun.com/iwzombies/run/zq8rd71z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,25m 55.000s,https://youtu.be/N6gCm8Eqm3U,,co-op,2024-02-04,2,YaBoyBlue,SGTSalt357,,,http://www.speedrun.com/iwzombies/run/mkqj4g3m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,17m 41.966s,https://youtu.be/9VpVVCv4rLw?si=FYtjHAb4XlHZmKLu,,co-op,2024-01-18,2,SGTSalt357,YaBoyBlue,,,http://www.speedrun.com/iwzombies/run/zg89lxvy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,17m 53.530s,https://youtu.be/4kiXnYw-brQ?si=qM7X991g9UECa8c-,,co-op,2023-12-20,2,SGTSalt357,YaBoyBlue,,,http://www.speedrun.com/iwzombies/run/zpppvnxz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,17m 54.000s,https://youtu.be/PEiw7sjTWME?si=MCFdNNaohipLwE2r,,co-op,2023-11-17,2,YaBoyBlue,SGTSalt357,,,http://www.speedrun.com/iwzombies/run/yjwppp3m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,18m 18.750s,https://youtu.be/8rnyvjzo1EQ?si=pfl2tBiEh4pu7Tjw,,co-op,2023-11-17,2,SGTSalt357,YaBoyBlue,,,http://www.speedrun.com/iwzombies/run/me03j48z,verified
