game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PC,1m 45.062s,https://www.youtube.com/watch?v=yIByFxqt53M,,solo,2022-09-24,1,PogSnoopy,,,,http://www.speedrun.com/bo3zombies/run/zgq83vjy,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,56.610s,https://www.youtube.com/watch?v=O85CudMkC40,,solo,2022-09-24,1,PogSnoopy,,,,http://www.speedrun.com/bo3zombies/run/yl16gkxm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PC,2m 52.059s,https://www.youtube.com/watch?v=_mukUc5OHx4,,solo,2022-09-24,1,PogSnoopy,,,,http://www.speedrun.com/bo3zombies/run/y2ego26y,verified
