game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=jqz2ogqp,PC,34m 50.000s,https://youtu.be/JCCNHBfLTO0,,co-op,2023-04-28,2,Azulcrocs,hugemonkeyballz,,,http://www.speedrun.com/bo3zombies/run/y2g96w7z,rejected
Call of Duty: WWII Zombies,,The Darkest Shore,wl36vq9l=p125d041; 2lgzkp38=jq640jj1; onv7j35n=mlnprkj1,PC,56m 29.390s,https://youtu.be/DDVIkaWZZ68,,co-op,2023-08-14,2,Azulcrocs,PinkyShminkleton,,,http://www.speedrun.com/wwiizombies/run/z1l0jpjm,verified
Call of Duty: WWII Zombies,,The Darkest Shore,wl36vq9l=p125d041; 2lgzkp38=jq640jj1; onv7j35n=mlnprkj1,PC,56m 31.015s,https://studio.youtube.com/channel/UCc0i4IzI9KJNxvdfmfeDTkw/videos/upload?filter=%5B%5D&sort=%7B%22columnType%22%3A%22date%22%2C%22sortOrder%22%3A%22DESCENDING%22%7D,,co-op,2023-08-10,2,Azulcrocs,PinkyShminkleton,,,http://www.speedrun.com/wwiizombies/run/z0jk838y,rejected
