game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,31m 2.617s,https://youtu.be/ClWU-Mj3QBM,,solo,2020-11-25,1,YoyoOnTTV,,,,http://www.speedrun.com/bocwz/run/y8r6vn5m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,35m 53.038s,https://www.twitch.tv/videos/810482064,,co-op,2020-11-21,2,AjGetsBuckets,YoyoOnTTV,,,http://www.speedrun.com/bocwz/run/m3gl5vwz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,32m 51.034s,https://youtu.be/usv3czuc5X8,,co-op,2020-11-21,2,AjGetsBuckets,YoyoOnTTV,,,http://www.speedrun.com/bocwz/run/ylvne83m,verified
