game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox One,49m 52.000s,https://www.twitch.tv/videos/1128799921?collection=qaQPgsh1nhYf2w,,co-op,2021-08-25,2,Zackv60,expertbroom5908,,,http://www.speedrun.com/bocwz/run/z0764eey,rejected
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,Xbox One,49m 54.000s,https://www.twitch.tv/videos/1128799921,,co-op,2021-08-25,2,Zackv60,expertbroom5908,,,http://www.speedrun.com/bocwz/run/me49njqy,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=rqvo0d7l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,Xbox One,49m 52.000s,https://www.twitch.tv/videos/1128798119,,co-op,2021-08-25,2,Zackv60,expertbroom5908,,,http://www.speedrun.com/bocwz/run/mrn40n4y,rejected
