game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=81w486vq; 789kjr0l=21gev7xl,Xbox One,32m 53.019s,https://youtu.be/l4MkiFC6a_0,,co-op,2021-05-30,3,qt_sniperzz,Xxthebossyt9,Riski Squad,,http://www.speedrun.com/iwzombies/run/z1rgr89m,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=81w486vq; onvyp7nm=0139rzx1,Xbox One,27m 16.036s,https://vm.tiktok.com/ZMe3694gt/,,co-op,2021-05-29,3,qt_sniperzz,Riski Squad,Xxthebossyt9,,http://www.speedrun.com/iwzombies/run/mr1rkedz,rejected
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,Xbox One,32m 8.001s,https://vm.tiktok.com/ZMe3MPucK/,,co-op,2021-05-29,2,qt_sniperzz,Risky Squad,,,http://www.speedrun.com/iwzombies/run/y2xe5e7m,rejected
