game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,2m 54.900s,https://youtu.be/v2mbpE0BtAg,,co-op,2018-03-06,2,fish.,Spageti,,,http://www.speedrun.com/bo2zombies/run/zpq5rxxy,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,3m 3.140s,https://youtu.be/_NVhJ7hUfAE,,co-op,2018-03-06,2,fish.,Spageti,,,http://www.speedrun.com/bo2zombies/run/ydqo5lvm,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 42.840s,https://youtu.be/QE30F_kKOvY,,co-op,2018-03-06,2,fish.,Spageti,,,http://www.speedrun.com/bo2zombies/run/y97w0dem,verified
