game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call Of Duty Zombies Category Extension,BO3,All Maps,68kmpxzl=zqom2g41; kn0j593l=z19mgeyl; r8r1y4wn=xqkjk2kl,PC,3h 1m 30.350s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/call_of_duty_zombies_category_extension/run/zn7dkg3m,verified
Call of Duty: Black Ops 3 Category Extension,,Super 15,0nwd2od8=139dwvx1; 6njxv458=q5vyxx2l; kn034j0n=1926558q,PC,3h 1m 30.350s,https://www.twitch.tv/videos/1439121447,,solo,2022-03-28,1,Wolfslayer61,,,,http://www.speedrun.com/bo3zce/run/zg91pjjm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 2lg32qnp=xqkdkyl9,PC,1m 39.860s,https://www.twitch.tv/videos/1488624619,,co-op,2022-05-19,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo2zombies/run/ydderpxy,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=gq7257n1,PC,14m 43.350s,https://www.twitch.tv/videos/1451691706,,co-op,2022-04-10,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo2zombies/run/zq7645rm,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 2lg32qnp=xqkoez91,PC,16m 39.380s,https://www.twitch.tv/videos/1451691707,,co-op,2022-04-10,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo2zombies/run/y4q5e03m,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,3m 5.700s,https://www.twitch.tv/videos/1450690075,,co-op,2022-04-08,3,PizzaHydra,Wolfslayer61,Lilleman,,http://www.speedrun.com/bo2zombies/run/y2p3325z,verified
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 68kozzn2=jqzvyn2l,PC,2m 46.960s,https://www.twitch.tv/videos/1450681710,,co-op,2022-04-08,2,PizzaHydra,Wolfslayer61,,,http://www.speedrun.com/bo2zombies/run/zp9qqpxm,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=0q56pm1p; ylqx7m8r=013w4rdq,PC,2m 37.950s,https://www.youtube.com/watch?v=tdU32TuMMMg&t=45s,,co-op,2023-06-26,2,TheDotzGames,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/yj2pxd3m,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=0q56pm1p; 2lg7k6lp=5le3mzpq,PC,14m 7.800s,https://www.youtube.com/watch?v=WFOhdLbw0BA,,co-op,2023-05-14,2,Wolfslayer61,RubikRL,,,http://www.speedrun.com/bo3zombies/run/ywr4k93m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=814k4d0l,PC,2m 21.780s,https://www.youtube.com/watch?v=VAMKTam83XQ,,co-op,2023-04-25,2,JDubs,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/mk0lek3z,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=4lxz9212; ylp4gjlg=gq72yjp1,PC,32m 26.680s,https://www.youtube.com/watch?v=sThBAmmmMEo&t=731s,,co-op,2023-04-02,3,MagicMellow_,Wolfslayer61,Vexy,,http://www.speedrun.com/bo3zombies/run/zpgvevxz,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=0q56pm1p; 2lg7e6lp=5le3v85q,PC,2m 19.890s,https://youtu.be/gp76ujWCJFY,,co-op,2023-03-26,2,JDubs,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/y4g0vkdy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=0q56pm1p; jlzz6xl2=814k4d0l,PC,2m 10.900s,https://youtu.be/jMK6bf_OFjE,,co-op,2023-03-26,2,JDubs,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/zxn5pw5m,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=814k4d0l,PC,2m 18.910s,https://www.youtube.com/watch?v=6vg0GBgapro,,co-op,2023-03-26,2,JDubs,Wolfslayer61,,,http://www.speedrun.com/bo3zombies/run/zpg5vpgz,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=4lxz9212; ylp4gjlg=gq72yjp1,PC,36m 8.480s,https://www.youtube.com/watch?v=uzzZO8vJg9E&t=617s,,co-op,2023-03-24,3,MagicMellow_,Wolfslayer61,Vexy,,http://www.speedrun.com/bo3zombies/run/yv8505xm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=4lxz9212; 38dw04n0=81wer8o1,PC,2m 11.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&ab_channel=DanielJohnGaming,,co-op,2023-02-20,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/ylnl9p3z,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=4lxz9212; ylp4gjlg=xqk968n1,PC,2m 17.000s,https://www.youtube.com/watch?v=_6Y-lUXoQTs&t=738s&ab_channel=DanielJohnGaming,,co-op,2023-02-17,3,DanielJohnGaming,Wolfslayer61,TheHondo_,,http://www.speedrun.com/bo3zombies/run/y80685wm,verified
