game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=gq792yyl,Xbox One,23m 15.317s,https://youtu.be/uxPYUyjQJgU,,co-op,2021-11-09,2,themattster5,T3ckSupp0rt,,,http://www.speedrun.com/iwzombies/run/ydepg1xm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,Xbox One,26m 43.500s,https://youtu.be/cLUTSTysopI,,co-op,2021-11-01,2,themattster5,T3ckSupp0rt,,,http://www.speedrun.com/iwzombies/run/z1x7369m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,Xbox One,25m 40.833s,https://youtu.be/kOSzccPWLK0,,co-op,2021-11-01,2,themattster5,T3ckSupp0rt,,,http://www.speedrun.com/iwzombies/run/ywk5d13y,verified
