game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=21g9gyxq,PC,12m 54.867s,https://youtu.be/AB9EvPq30Jg,,solo,2023-12-17,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/zqdd878m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PC,8m 15.483s,https://youtu.be/ptstxH-WZpk?si=PLKqpr3NewqQsNiW,,solo,2023-09-12,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/yoo43j5y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PC,11m 41.930s,https://youtu.be/6Tk5CGmB9sE,,solo,2022-09-14,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/yl1n9p3m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,43.000s,https://youtu.be/04e5D5YLo8A,,solo,2022-09-11,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/y9xxk02y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=xqko8791,PC,2h 4m 11.733s,https://youtu.be/aVgO4cD05e8,,solo,2022-09-10,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/zq9910xy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=81pen8el,PC,43m 3.900s,https://youtu.be/aVgO4cD05e8,,solo,2022-09-10,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/yv00pp6z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,PC,1h 5m 30.000s,https://youtu.be/TQrm8iFgxWo,,solo,2022-09-09,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/zx883lqm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,1h 0m 59.400s,https://youtu.be/GHGtI42gErc,,solo,2022-08-04,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/y8xq415m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PC,5m 21.020s,https://youtu.be/tpc79-G2Iuc,,solo,2022-08-02,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/m3xd776m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=21g9gyxq,PC,12m 56.400s,https://youtu.be/ynJkLnE52CU,,solo,2022-07-27,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/y60k0kpy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=z19xr7j1,PC,39m 48.000s,https://youtu.be/Dlk6UHo6BBc,,solo,2022-07-03,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/z0p8q4jy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PC,6m 13.000s,https://youtu.be/Cjp71lewPWk,,solo,2022-01-16,1,zx707yrj,,,,http://www.speedrun.com/iwzombies/run/m7wo6o5z,verified
