game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 789kjr0l=21gjjyo1,PC,6m 15.000s,https://youtu.be/aPALivdcSIY,,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/ylln46xy,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=9qjw9k01,PC,39.000s,https://youtu.be/doMHjoJm6nA,,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/znej4vvz,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=5lm8p0yq,PC,3m 2.000s,https://www.youtube.com/watch?v=sDfcQqEIyVk,https://youtu.be/z_lZlYBwgzE,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/mkqv9dxm,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=5lm8p0yq,PC,3m 2.000s,https://youtu.be/z_lZlYBwgzE?si=G2j8X5udgnUltvzp,,co-op,2023-11-28,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/zp61868m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=81w486vq; onvyp7nm=9qjw9k01,PC,55.000s,https://youtu.be/3orWYrTAiAY?si=ugOEK0jTcgurfROT,,co-op,2023-11-28,3,Fent,Reziqs,SniperStrix,,http://www.speedrun.com/iwzombies/run/mrv1nv2z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=81w486vq; onvyp7nm=9qjw9k01,PC,55.000s,https://youtu.be/3orWYrTAiAY,,co-op,2023-11-28,3,Fent,Reziqs,SniperStrix,,http://www.speedrun.com/iwzombies/run/me01r83z,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,37.000s,https://www.youtube.com/watch?v=oNY_nKiecCg&ab_channel=Rez,,solo,2023-11-27,1,Reziqs,,,,http://www.speedrun.com/iwzombies/run/y4kxlkkm,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=9qjw9k01,PC,39.000s,https://youtu.be/doMHjoJm6nA?si=vuWAQ2r4-ZXxbEva,,co-op,2023-11-27,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/zg8q51ny,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,37.000s,https://www.youtube.com/watch?v=oNY_nKiecCg&ab_channel=Rez,,solo,2023-11-27,1,Reziqs,,,,http://www.speedrun.com/iwzombies/run/y6qorr1z,rejected
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,37.000s,https://www.youtube.com/watch?v=oNY_nKiecCg,,solo,2023-11-27,1,Reziqs,,,,http://www.speedrun.com/iwzombies/run/z5w9kxnz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=9qjw9k01,PC,39.000s,https://youtu.be/doMHjoJm6nA?si=jzjU26qd3A4TFK-W,,co-op,2023-11-27,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/ywg40q2z,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 789kjr0l=21gjjyo1,PC,6m 15.000s,https://www.youtube.com/watch?v=eefud010hrI&ab_channel=Rez,,co-op,2023-11-25,2,Reziqs,Fent,,,http://www.speedrun.com/iwzombies/run/yd21l4wm,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 789kjr0l=21gjjyo1,PC,6m 15.000s,https://youtu.be/aPALivdcSIY?si=P2xPWQgiOBdtpz7B,,co-op,2023-11-25,2,Fent,Reziqs,,,http://www.speedrun.com/iwzombies/run/yjog5o3z,verified
