game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,1m 7.150s,https://youtu.be/WjKwH-oTj5w,,solo,2024-11-30,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/yjej81gm,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn82q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,3m 12.000s,https://youtu.be/mpwjTeLNoN8,,solo,2024-11-24,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/y2wlw4jy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,1m 14.710s,https://youtu.be/WQHM9bCf0a4,,solo,2024-11-21,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/zqqxrxxz,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn82q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,3m 26.490s,https://youtu.be/gX_-chlH11A,,solo,2024-11-16,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/zgo5r2jm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,4m 52.300s,https://youtu.be/_hxyKH1vCz8,,solo,2024-11-15,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/y6e1d96z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 46.120s,https://youtu.be/Ob8sGlwGnkE,,solo,2024-11-09,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/ylxw7lxy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 7.760s,https://youtu.be/PmyzssJsPFY,,solo,2024-11-09,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/z0q4pxom,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 57.910s,https://youtu.be/Q0ZzWKRAW2c,,solo,2024-11-05,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/megdqx2y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 11.800s,https://youtu.be/-2I44K6qvjY,,solo,2024-11-05,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/y8pl71xz,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn82q; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,4m 47.400s,https://youtu.be/cNHTv2_dZNw,,solo,2024-11-05,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/yvxek2xz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,5m 14.380s,https://youtu.be/IXfOuwPuUGI,,solo,2024-11-05,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/y4lvv43z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 22.880s,https://youtu.be/jRKDxG4RbzI,,solo,2024-11-04,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/y6ewjx1z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn82q; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,6m 0.650s,https://youtu.be/QoedM-GaEKA,,solo,2024-11-03,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/ylx2nnny,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,7m 2.810s,https://youtu.be/6QjOG8okEuU,,solo,2024-11-02,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/y6ewo7jz,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,1m 21.240s,https://youtu.be/cK9LdC-sLn0,,solo,2024-11-02,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/m7ojxv9y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=qznxn82q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,3m 54.250s,https://youtu.be/v6quBDQwbKA,,solo,2024-11-02,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/y2w6e27y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,2m 34.700s,https://www.youtube.com/watch?v=WTyi7VulaRM,,solo,2024-11-02,1,BIEST1X,,,,http://www.speedrun.com/BO6Zombies/run/mrxwrlgm,verified
