game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=21dkoyjl,PlayStation 4,4h 13m 47.000s,https://www.youtube.com/watch?v=7fYROSkFQ-w,,solo,2022-07-02,1,PabloCrack,,,,http://www.speedrun.com/bo3zombies/run/y60gqq6y,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PlayStation 4,36m 38.359s,https://youtu.be/x9cfV9V0jvQ,,solo,2021-07-31,1,PabloCrack,,,,http://www.speedrun.com/bo3zombies/run/m37dqx6z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PlayStation 4,38m 10.000s,https://youtu.be/242UttiMGTE,,solo,2021-07-26,1,PabloCrack,,,,http://www.speedrun.com/bo3zombies/run/y479ggky,rejected
