game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; p85revng=klrj63oq,Xbox 360,3m 21.120s,https://youtu.be/LdJythj89DY,,co-op,2021-07-01,2,Huskerfanhansen,VirusBrian,,,http://www.speedrun.com/bo2zombies/run/y4r084nz,verified
Call of Duty: Black Ops II Zombies,,Buried,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; 5ly102l4=21geonml,Xbox 360,3m 48.280s,https://www.youtube.com/watch?v=CDPD3MmlmfA,,co-op,2021-07-01,2,Huskerfanhansen,VirusBrian,,,http://www.speedrun.com/bo2zombies/run/zgg9d4dz,rejected
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=814nn0ld,Xbox 360,5m 10.800s,https://youtu.be/bTkcQVCZ84w,,co-op,2021-07-01,2,Huskerfanhansen,VirusBrian,,,http://www.speedrun.com/bo2zombies/run/ydrod6vz,rejected
