game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,2m 17.500s,https://www.youtube.com/watch?v=gRWURKBjENA,,solo,2025-01-13,1,Palukranos,,,,http://www.speedrun.com/BO6Zombies/run/zq21dx5z,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1928mw8q; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,Xbox Series X,1m 21.700s,https://www.youtube.com/watch?v=g-5lF0Jlwx0https://www.youtube.com/watch?v=BYX_5GDs-Jo,https://youtu.be/ngXONqq6lTg?si=4uILpi3yWO83pqUc,co-op,2025-01-10,3,Palukranos,HeccOffMe,Blazingblue,,http://www.speedrun.com/BO6Zombies/run/z5lrow5y,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=qkem0ndq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,Xbox Series X,4m 33.280s,https://www.youtube.com/watch?v=g-5lF0Jlwx0https://www.youtube.com/watch?v=BYX_5GDs-Jo,https://youtu.be/ngXONqq6lTg?si=LXVKD-aYCfftLVyt,co-op,2025-01-10,3,Palukranos,HeccOffMe,Blazingblue,,http://www.speedrun.com/BO6Zombies/run/zgjgnjez,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,2m 55.000s,https://youtu.be/ZbMTL0F3Bkk?si=vj06SPdjE3bNXdTh,,solo,2024-12-25,1,Palukranos,,,,http://www.speedrun.com/BO6Zombies/run/zgjx4rvz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,3m 53.260s,https://youtu.be/JEeC8WGcNnQ,,solo,2024-12-21,1,Palukranos,,,,http://www.speedrun.com/BO6Zombies/run/zpk4d78y,verified
