game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=5le3mzpq,PC,14m 58.830s,https://www.twitch.tv/videos/1260953170,,co-op,2022-01-12,2,InsertLogic,DylanJayFox,,,http://www.speedrun.com/bo3zombies/run/ywjkrw0z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=0q56pm1p; ylp4kjlg=013w57kq,PC,14m 32.600s,https://www.twitch.tv/videos/1260955483,,co-op,2022-01-12,2,InsertLogic,DylanJayFox,,,http://www.speedrun.com/bo3zombies/run/ydwejvjm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=0q56pm1p; ylp4kjlg=z195dr0q,PC,2m 35.400s,https://www.twitch.tv/videos/1260960018,,co-op,2022-01-12,2,InsertLogic,DylanJayFox,,,http://www.speedrun.com/bo3zombies/run/zq0vj2xy,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=013w57kq,PC,13m 53.250s,https://www.twitch.tv/videos/1261446804,,solo,2022-01-12,1,DylanJayFox,,,,http://www.speedrun.com/bo3zombies/run/mke5pnxm,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=5leo55qo; ylp4kjlg=013w57kq,PC,13m 44.380s,https://www.twitch.tv/videos/1261557674,,solo,2022-01-12,1,DylanJayFox,,,,http://www.speedrun.com/bo3zombies/run/m367j76m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PC,12m 40.080s,https://www.twitch.tv/videos/1259920456,,co-op,2022-01-11,2,VENGENZ,DylanJayFox,,,http://www.speedrun.com/bo3zombies/run/y9l3l72y,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=zqomrog1,PC,13m 27.070s,https://www.twitch.tv/videos/1259917613,,co-op,2022-01-11,2,VENGENZ,DylanJayFox,,,http://www.speedrun.com/bo3zombies/run/m3676d6m,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=4lxz9212; 2lg7k6lp=5le3mzpq,PC,18m 53.390s,https://www.twitch.tv/videos/1259922707,,co-op,2022-01-11,3,VENGENZ,InsertLogic,DylanJayFox,,http://www.speedrun.com/bo3zombies/run/z0o7oejz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=814k4d0l,PC,2m 31.670s,https://www.twitch.tv/videos/1260412521,,co-op,2022-01-11,2,VENGENZ,DylanJayFox,,,http://www.speedrun.com/bo3zombies/run/y8jexvnz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=zqomrog1,PC,13m 13.820s,https://www.twitch.tv/videos/1260938977,,solo,2022-01-11,1,DylanJayFox,,,,http://www.speedrun.com/bo3zombies/run/zn70v23m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PC,12m 29.080s,https://www.twitch.tv/videos/1260943027,,co-op,2022-01-11,2,InsertLogic,DylanJayFox,,,http://www.speedrun.com/bo3zombies/run/m367q04m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PC,13m 8.580s,https://www.twitch.tv/videos/1259413772,,solo,2022-01-10,1,DylanJayFox,,,,http://www.speedrun.com/bo3zombies/run/ydwe9nxm,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PC,13m 17.720s,https://www.twitch.tv/videos/1257500682,,solo,2022-01-08,1,DylanJayFox,,,,http://www.speedrun.com/bo3zombies/run/zgdg0q0z,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PC,13m 33.000s,https://www.twitch.tv/videos/1256676242,,solo,2022-01-07,1,DylanJayFox,,,,http://www.speedrun.com/bo3zombies/run/mr61027m,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=5leo55qo; 2lg7k6lp=21g9m9xq,PC,45m 19.000s,https://www.twitch.tv/videos/741722296,,solo,2020-09-15,1,DylanJayFox,,,,http://www.speedrun.com/bo3zombies/run/y6r7q76y,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0q520nnq; 0nw2z6xn=xqk86k9q,PC,15m 34.000s,https://www.twitch.tv/videos/1252815061,,co-op,2022-01-04,4,AudreyTheTitan,chaimyyy,DylanJayFox,ToastedKat,http://www.speedrun.com/bo4zombies/run/yor9520y,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0q520nnq; 0nw2z6xn=jqz4y74l,PC,1h 18m 13.000s,https://www.twitch.tv/videos/1252343209,,co-op,2022-01-03,4,AudreyTheTitan,chaimyyy,DylanJayFox,ToastedKat,http://www.speedrun.com/bo4zombies/run/mke718lm,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0q520nnq; 0nw2z6xn=21ggorx1,PC,21m 24.000s,https://www.twitch.tv/videos/1252333773,,co-op,2022-01-03,4,AudreyTheTitan,chaimyyy,DylanJayFox,ToastedKat,http://www.speedrun.com/bo4zombies/run/z0o6q5oz,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0q520nnq; 0nw2z6xn=gq7gzenq,PC,2m 57.000s,https://www.twitch.tv/videos/1252328298,,co-op,2022-01-03,4,chaimyyy,AudreyTheTitan,DylanJayFox,ToastedKat,http://www.speedrun.com/bo4zombies/run/zn7oxrvm,verified
