game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,55.220s,https://youtu.be/qQFEHcmSYLg,,solo,2023-12-31,1,Mxisty,,,,http://www.speedrun.com/bo3zombies/run/me0gg03z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 43.817s,https://youtu.be/9jDWSEh0h_M,,solo,2023-05-07,1,Mxisty,,,,http://www.speedrun.com/bo3zombies/run/zqj3318m,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=5leo55qo; 2lg7e6lp=21ge5dml,PC,1m 18.420s,https://www.youtube.com/watch?v=lo2EzGFGe4E,,solo,2023-01-25,1,Mxisty,,,,http://www.speedrun.com/bo3zombies/run/y4g82v2y,verified
