game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1928mw8q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=lr3yprml,Xbox Game Pass,1m 8.180s,https://youtu.be/tM1MNmnf3DY,,solo,2024-12-13,1,hiimjorge,,,,http://www.speedrun.com/BO6Zombies/run/y2nqvjjy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 22.960s,https://youtu.be/iefcZ317SNo,,solo,2024-12-12,1,hiimjorge,,,,http://www.speedrun.com/BO6Zombies/run/ylp4vpkm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Game Pass,1m 23.410s,https://www.youtube.com/watch?v=n9Wb_7ApCHE&t=1s,,solo,2024-12-12,1,hiimjorge,,,,http://www.speedrun.com/BO6Zombies/run/ydv39wqy,verified
