game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,PlayStation 4,48m 23.400s,https://youtu.be/pIMRp1j4v9c,,solo,2022-03-23,1,Pac-Fighter19,,,,http://www.speedrun.com/iwzombies/run/yjx054dz,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=21ge9kml,PlayStation 4,4m 52.217s,https://youtu.be/I_43BHSkkCQ,,solo,2021-05-16,1,Pac-Fighter19,,,,http://www.speedrun.com/iwzombies/run/yv1oqexy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PlayStation 4,2m 8.067s,https://youtu.be/FGLclzHrAjg,,solo,2021-05-15,1,Pac-Fighter19,,,,http://www.speedrun.com/iwzombies/run/y8dedpxz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PlayStation 4,2m 10.967s,https://youtu.be/Te1wf9nMT8o,,solo,2020-08-23,1,Pac-Fighter19,,,,http://www.speedrun.com/iwzombies/run/m35p54gy,verified
