game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PlayStation 4,38.000s,https://youtu.be/tmLcdRyTYUc,,solo,2021-08-25,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/zgrxojvm,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PlayStation 4,10m 28.000s,https://youtu.be/d-sVc8QBMPM,,solo,2021-08-22,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/m778qg0m,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PlayStation 4,9m 56.000s,https://www.youtube.com/watch?v=M79kjLx53Us,,solo,2021-08-22,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/zgrxkpem,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 19.000s,https://www.youtube.com/watch?v=_qaZF_6-OLA&t,,solo,2021-08-21,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/m37gvqqz,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 16.000s,https://www.youtube.com/watch?v=pSMxv85hcHE,,solo,2021-08-20,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/y47enw3y,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=5lm8p0yq,PlayStation 4,3m 0.000s,https://www.youtube.com/watch?v=jFu88VMoukk,,solo,2021-08-17,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/y8er93ny,rejected
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,PlayStation 4,4m 16.000s,https://www.youtube.com/watch?v=mOZxZXxPnts,,solo,2021-08-16,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/ylrkpe2y,rejected
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=5lm8p0yq,PlayStation 4,3m 10.000s,https://www.youtube.com/watch?v=-eN6HvOWhMM,,solo,2021-08-16,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/y47wjgqy,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PlayStation 4,10m 18.000s,https://www.youtube.com/watch?v=VKu1XASRZxQ,,solo,2021-08-16,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/zqvwprrm,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=21gjjyo1,PlayStation 4,6m 20.000s,https://www.youtube.com/watch?v=vwhYxSoLetQ,,solo,2021-08-15,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/yj5le3dm,rejected
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 789kjr0l=jqz66kk1,PlayStation 4,11m 15.000s,https://www.youtube.com/watch?v=4UNzrF_Q2Zs,,solo,2021-08-14,1,BLACKB1RDv,,,,http://www.speedrun.com/iwzombies/run/y8e2j05y,rejected
