game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 18.760s,https://www.youtube.com/watch?v=niUi6PFGi3Y,,solo,2025-01-24,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/mkoe583z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=139m92y1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,1h 47m 6.210s,https://www.youtube.com/watch?v=zueevydelug,,solo,2025-01-17,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/mr0nkq4m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,9m 6.280s,https://www.youtube.com/watch?v=zueevydelug,,solo,2025-01-17,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/z1vx53jz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1w4d4n6q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,20m 51.220s,https://www.youtube.com/watch?v=zueevydelug,,solo,2025-01-17,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/ydve5qqy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,1m 7.240s,https://www.youtube.com/watch?v=fi0kMtDM8mw,,solo,2025-01-06,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/men93w8m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 36.740s,https://www.youtube.com/watch?v=qKghczF7Pv0,,solo,2025-01-06,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/zgjxd1dz,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=lr3y3vol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,2m 14.410s,https://www.youtube.com/watch?v=vVdIwl0LVCE,,solo,2025-01-05,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/zgjvk5ez,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 55.300s,https://www.youtube.com/watch?v=UIeZyvXdTA4&t=3s,,solo,2024-12-29,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/zq2wll1z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,17m 1.850s,https://www.youtube.com/watch?v=Aiu_2EUBtwU,,solo,2024-12-24,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/yoqk2l7z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,13m 26.800s,https://www.youtube.com/watch?v=zcfPQlum2gc,,solo,2024-12-24,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/zn9k8l7y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,15m 39.500s,https://www.youtube.com/watch?v=DoAcaLzo0m4,,co-op,2024-12-23,3,Drawify,BungieTrash,6tturner,,http://www.speedrun.com/BO6Zombies/run/mr0egn2m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,4m 49.450s,https://www.youtube.com/watch?v=eUZMCsQ3Jqo&t=1s,,solo,2024-12-23,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/mko2nnlz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1gn2npxl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,7m 34.280s,https://www.youtube.com/watch?v=SXfXiWBm1d8,,solo,2024-12-23,1,Drawify,,,,http://www.speedrun.com/BO6Zombies/run/zxjkpxey,verified
