game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=qznxpm8q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PlayStation 5,3m 5.400s,https://www.youtube.com/watch?v=_zwdc2WQs6k,,solo,2025-02-20,1,GetThatCookerOn,,,,http://www.speedrun.com/BO6Zombies/run/y8ok2qnm,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=lr3y3vol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PlayStation 5,4m 20.200s,https://www.youtube.com/watch?v=xVN_c-WRdp0,,solo,2025-01-27,1,GetThatCookerOn,,,,http://www.speedrun.com/BO6Zombies/run/ydvd3wjy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=lr3y3vol; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PlayStation 5,4m 30.400s,https://www.youtube.com/watch?v=xVN_c-WRdp0,,solo,2025-01-23,1,GetThatCookerOn,,,,http://www.speedrun.com/BO6Zombies/run/y4j8w3qy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,27m 52.300s,https://m.youtube.com/watch?v=yn8S5WWUHFc,,co-op,2025-01-06,4,GetThatCookerOn,Justmatty,Englishmandave,Devil Key,http://www.speedrun.com/BO6Zombies/run/men9329m,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdkokq; 68k16z3l=ln8z4j0l; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PlayStation 5,4m 22.002s,https://www.youtube.com/watch?v=CMOqcWYKgFw,,co-op,2025-01-04,3,GetThatCookerOn,Justmatty,Bigrabbit,,http://www.speedrun.com/BO6Zombies/run/m7e890ez,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PlayStation 5,28m 2.340s,https://www.youtube.com/watch?v=QRR70bGLOhs,,co-op,2025-01-03,3,GetThatCookerOn,Bigrabbit,Justmatty,,http://www.speedrun.com/BO6Zombies/run/y8orl81m,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PlayStation 5,29m 50.200s,https://www.youtube.com/watch?v=uwz6m3DuoCE,,co-op,2025-01-02,3,Justmatty,GetThatCookerOn,Bigrabbit,,http://www.speedrun.com/BO6Zombies/run/m7e5njwz,verified
