game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; yn23jdl5=81009651,PC,2m 52.520s,https://www.youtube.com/watch?v=NsalM1hegAc&t=1s,,solo,2020-12-15,1,MrW0lf121,,,,http://www.speedrun.com/bo2zombies/run/zq423qxm,verified
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=21g9nxxq,PC,14m 52.860s,https://youtu.be/hkB0oYb5_DM,,solo,2020-12-15,1,MrW0lf121,,,,http://www.speedrun.com/bo2zombies/run/ywdwd1nz,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 37.870s,https://youtu.be/3pZeakWojyg,,solo,2020-12-14,1,MrW0lf121,,,,http://www.speedrun.com/bo2zombies/run/z1onwjjm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrx350l,PC,13m 55.680s,https://youtu.be/3pZeakWojyg,,solo,2020-12-14,1,MrW0lf121,,,,http://www.speedrun.com/bo2zombies/run/z09qv1jz,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 36.240s,https://youtu.be/J7B6REDN6Gs,,solo,2020-12-14,1,MrW0lf121,,,,http://www.speedrun.com/bo2zombies/run/z1ovd1jm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=0q56zn1p,PC,7m 31.280s,https://www.youtube.com/watch?v=lih3ZFFH86I&feature=youtu.be,,solo,2020-12-09,1,MrW0lf121,,,,http://www.speedrun.com/bo2zombies/run/y2d2lk9z,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=81pn6wel,PC,10m 15.010s,https://youtu.be/pxgY5xynRDk,,solo,2020-12-08,1,MrW0lf121,,,,http://www.speedrun.com/bo4zombies/run/yj6ov3nz,verified
