game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=21g9gyxq,Xbox One,21m 20.000s,https://www.twitch.tv/videos/142514808,,solo,2017-05-10,1,xxxgizzm0xx,,,,http://www.speedrun.com/iwzombies/run/y9722nem,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,Xbox One,6m 51.000s,https://www.twitch.tv/videos/139720990,,solo,2017-05-02,1,xxxgizzm0xx,,,,http://www.speedrun.com/iwzombies/run/yw11n09z,rejected
