game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=5lez085l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PlayStation 4,46m 49.097s,https://www.twitch.tv/videos/1515287883,,co-op,2022-06-26,3,ladykiller112789,Raelori,countrycutt,,http://www.speedrun.com/bocwz/run/yddl9v0y,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0q5zm8mq; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PC,53m 6.048s,https://www.twitch.tv/videos/1104289420,,co-op,2021-07-31,4,Raelori,ladykiller112789,countrycutt,Spoc Holliday,http://www.speedrun.com/bocwz/run/z5dogpdm,verified
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0q5zm8mq; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,PC,1h 4m 43.037s,https://www.twitch.tv/videos/1092133853,,co-op,2021-07-19,4,Raelori,ladykiller112789,countrycutt,Spoc Holliday,http://www.speedrun.com/bocwz/run/yjgn6qdy,verified
