game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=5leo55qo; 38dw04n0=5lm3y41v,PC,46m 0.084s,https://youtu.be/s3MCw_L_hHA,,solo,2020-09-26,1,XMisterKiller,,,,http://www.speedrun.com/bo3zombies/run/z093vqjz,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PC,2m 54.008s,https://youtu.be/dbiay5hvAHw,,solo,2020-09-26,1,XMisterKiller,,,,http://www.speedrun.com/bo3zombies/run/y6rl7p1y,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=0132y83q; kn0zwr38=5lmn7z4q,PC,1m 51.060s,https://youtu.be/ssBW8ArGDm4,,solo,2020-09-26,1,XMisterKiller,,,,http://www.speedrun.com/bo4zombies/run/zq4r359m,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=0132y83q; 789k790l=jqz4y7kl,PC,2m 37.540s,https://youtu.be/rr0CoxisaGE,,solo,2020-09-26,1,XMisterKiller,,,,http://www.speedrun.com/bo4zombies/run/yd063x0z,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=0132y83q; 789k790l=21ddo7g1,PC,36m 6.058s,https://youtu.be/DlDpthjwd5M,,solo,2020-09-25,1,XMisterKiller,,,,http://www.speedrun.com/bo4zombies/run/me68r70z,verified
