game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,44m 12.320s,https://youtu.be/jLDaGez7t-c,,solo,2024-12-18,1,Jadoofer,,,,http://www.speedrun.com/BO6Zombies/run/y9p506nm,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,51m 22.800s,https://youtu.be/1No3PpcnQT8,,solo,2024-12-10,1,Jadoofer,,,,http://www.speedrun.com/BO6Zombies/run/z1v1dv9z,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1pydo5v1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; wlegod2n=qkemdj9q,PC,1h 3m 43.260s,https://youtu.be/JeTBDtKwdw4,,solo,2024-12-07,1,Jadoofer,,,,http://www.speedrun.com/BO6Zombies/run/m7e93l5z,verified
