game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=0137jrdl; 5ly1w0kl=klr9w92l; jlzrv9y8=81wj8nvq,PC,4m 59.048s,https://youtu.be/77dKixfk47s,,solo,2021-07-23,1,ColdRamen4619,,,,http://www.speedrun.com/bocwz/run/yv1wd7xy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,3m 32.074s,https://www.youtube.com/watch?v=iaU6VWQCicM,,solo,2020-10-18,1,ColdRamen4619,,,,http://www.speedrun.com/bo3zombies/run/ywd0e83z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,3m 29.033s,https://youtu.be/ob0oyl-fUDo,,solo,2020-10-18,1,ColdRamen4619,,,,http://www.speedrun.com/bo3zombies/run/y91n24vm,verified
