game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=jqz4y74l,PC,47m 14.004s,https://www.twitch.tv/videos/810895812,,co-op,2020-11-21,2,GamerControlZ-TTV,Maikiii,,,http://www.speedrun.com/bo4zombies/run/mr9o4w2m,verified
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=jqzx4w21; 5lyjm0yl=rqvmnpwq; yn21k7j8=mlnz37ol,PC,14m 13.013s,https://www.twitch.tv/videos/810971576,,co-op,2020-11-21,2,GamerControlZ-TTV,Maikiii,,,http://www.speedrun.com/bo4zombies/run/mk8v7jvm,verified
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=jqzx4w21; 5lyjm0yl=rqvmnpwq; yn21k7j8=mlnz37ol,PC,14m 14.000s,https://youtu.be/ziiQ-dyoAaE,,co-op,2020-11-21,2,Maikiii,GamerControlZ-TTV,,,http://www.speedrun.com/bo4zombies/run/y6rod3py,verified
